RETIROS,FECHA,
9876530000275451,11-18-22,
9876530000562668,11-18-22,
9876540001570206,11-18-22,
9876540021067977,11-18-22,
9876540021853798,11-18-22,
9876540026299914,11-18-22,
9876540029660377,11-18-22,
9876540032598358,11-18-22,
9876540032600758,11-18-22,
9876540037842330,11-18-22,
9876540039858870,11-18-22,
9876540040537232,11-18-22,
9876540046560816,11-18-22,
9876540047140550,11-18-22,
9876540047862278,11-18-22,
9876540048690017,11-18-22,
9876540050795126,11-18-22,
9876540051109103,11-18-22,
9876540052142590,11-18-22,
9876540053150428,11-18-22,
9876540053713936,11-18-22,
9876540054354722,11-18-22,
9876540054412710,11-18-22,
9876540058488724,11-18-22,
9876540062302473,11-18-22,
9876540063500521,11-18-22,
9876540064534925,11-18-22,
9876540065096213,11-18-22,
9876540065974401,11-18-22,
9876540068739066,11-18-22,
9876540068740700,11-18-22,
9876540073585124,11-18-22,
9876540074244358,11-18-22,
9876540077152186,11-18-22,
9876540077283544,11-18-22,
9876540078099741,11-18-22,
9876540078934871,11-18-22,
9876540078938773,11-18-22,
9876540079258841,11-18-22,
9876540081634138,11-18-22,
9876540083420783,11-18-22,
9876540083465333,11-18-22,
9876540086625578,11-18-22,
9876540088010688,11-18-22,
9876540088204059,11-18-22,
9876540088541633,11-18-22,
9876540088579476,11-18-22,
9876540097470741,11-18-22,
9876540077458468,11-18-22,
9876540083020674,11-18-22,
9876540078864482,11-18-22,
9876540034022746,11-18-22,
9876540057445915,11-18-22,
9876540082293322,11-18-22,
9876540052168728,11-18-22,
9876530000631661,11-18-22,
9876530000608255,11-18-22,
9876540083732807,11-18-22,
9876540047980005,11-18-22,
9876540087255995,11-18-22,
9876540087824907,11-18-22,
9876540082003911,11-18-22,
9876540062567851,11-18-22,
9876540067095361,11-18-22,
9876540043862264,11-18-22,
9876540078844526,11-18-22,
9876540057916089,11-18-22,
9876540049792051,11-18-22,
9876540083487873,11-18-22,
9876540064570069,11-18-22,
9876540088789323,11-18-22,
9876540069875828,11-18-22,
9876520001905925,11-18-22,
9876540045374201,11-18-22,
9876540059635299,11-18-22,
9876530000063592,11-18-22,
9876540079069719,11-18-22,
9876540060105332,11-18-22,
9876540064745117,11-18-22,
9876540094891220,11-18-22,
9876540095189970,11-18-22,
9876540034307436,11-18-22,
9876540007216333,11-18-22,
9876520000366541,11-18-22,
9876540085231030,11-18-22,
9876540059898624,11-18-22,
9876540064508036,11-18-22,
9876540056741959,11-18-22,
9876540076072773,11-18-22,
9876540053474117,11-18-22,
9876540063378357,11-18-22,
9876540066532513,11-18-22,
9876540052320030,11-18-22,
9876540070808727,11-18-22,
9876540051203609,11-18-22,
9876540072661009,11-18-22,
9876540080612598,11-18-22,
9876530000246395,11-18-22,
9876540022264375,11-18-22,
9876540084697348,11-18-22,
9876540084694840,11-18-22,
9876540072428672,11-18-22,
9876540052579163,11-18-22,
9876540064331371,11-18-22,
9876540062859613,11-18-22,
9876540072584342,11-18-22,
9876530000169118,11-18-22,
9876540078566962,11-18-22,
9876540077520812,11-18-22,
9876540050761839,11-18-22,
9876540059789567,11-18-22,
9876540055238353,11-18-22,
9876540043542833,11-18-22,
